CruiseID,Haul,SpecNumber,Area,Stratum,Substratum,Date,Year,Month,EQLatDD,EQLongDD,AvgBtmDep,Sex,MatCode,Length,Length.cm,Weight,Age,EstWtFormFromEtoh,Stage1-3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,POF,old POF,new POF,AtrYlkd,AtrUnYlkd,AtrHyd,Mature,tblMatOocyteStages_MatStage,AdvOocyteStage,OvarySubWt,OvaryWt,Expr4,WedgeWt,PropAtretic,AtreticCount,OocStag4PlusCount,PropStag4,OocStag4Est,OocStag5PlusEst,PropHydrated,HydratedCount,FecStag4Plus,FecStag5Plus,FecStag4,Atresia,FecBatch,AtresiaFec,WtGonForm,tblMatFecundity_MatStage,MaleColor,EQSurTemp,BTavg,BDavg
MS201401,4,11,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,410,41,968,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,12,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,420,42,884,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,13,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,420,42,910,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,14,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,430,43,992,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,15,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,410,41,875,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,16,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,1,,390,39,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,17,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,1,,450,45,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,18,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,1,,410,41,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,19,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,1,,420,42,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,4,20,Seguam,4,,5/22/2014,2014,5,52.089,-171.881,132,2,,400,40,830,,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.87,3.91934375,132
MS201401,5,21,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,2,420,42,864,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.75,3.779346154,114
MS201401,5,22,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,2,340,34,594,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.75,3.779346154,114
MS201401,5,23,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,2,420,42,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,3.779346154,114
MS201401,5,24,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,1,400,40,976,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,1,4.75,3.779346154,114
MS201401,5,25,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,2,420,42,938,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,3.779346154,114
MS201401,5,26,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,1,2,370,37,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.75,3.779346154,114
MS201401,5,27,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,1,1,340,34,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.75,3.779346154,114
MS201401,5,28,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,2,2,390,39,766,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.75,3.779346154,114
MS201401,5,29,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,1,1,330,33,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.75,3.779346154,114
MS201401,5,30,Seguam,3,,5/22/2014,2014,5,52.04316667,-172.027,114,1,2,390,39,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.75,3.779346154,114
MS201401,6,31,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,2,2,430,43,926,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,32,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,2,2,430,43,1072,,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,33,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,1,2,340,34,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.44,3.975588235,115.5
MS201401,6,34,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,2,2,450,45,1134,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,35,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,2,2,430,43,982,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,36,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,2,2,430,43,932,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,37,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,1,1,350,35,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,38,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,1,1,390,39,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,6,39,Seguam,3,,5/22/2014,2014,5,52.037,-172.1041667,115.5,1,1,320,32,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,3.975588235,115.5
MS201401,7,41,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,2,2,430,43,1090,,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,7,42,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,2,2,420,42,898,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,7,43,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,2,2,430,43,1028,,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,7,44,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,2,2,420,42,934,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,7,45,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,2,2,450,45,1352,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,7,46,Seguam,1,,5/23/2014,2014,5,52.244,-172.7773333,134.67,1,,400,40,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,3.5697,134.67
MS201401,8,47,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,2,1,400,40,790,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.12,3.563583333,143.5
MS201401,8,48,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,2,,460,46,1174,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.12,3.563583333,143.5
MS201401,8,49,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,1,2,430,43,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.12,3.563583333,143.5
MS201401,8,50,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,2,2,460,46,1126,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.12,3.563583333,143.5
MS201401,8,51,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,2,2,440,44,1018,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.12,3.563583333,143.5
MS201401,8,52,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,2,2,430,43,1052,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.12,3.563583333,143.5
MS201401,8,53,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,1,2,430,43,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.12,3.563583333,143.5
MS201401,8,54,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,1,2,410,41,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.12,3.563583333,143.5
MS201401,8,55,Seguam,1,,5/24/2014,2014,5,52.23633333,-172.767,143.5,1,2,440,44,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.12,3.563583333,143.5
MS201401,10,56,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,1,1,360,36,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.6181,3.875830435,127.7361739
MS201401,10,57,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,1,2,380,38,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.6181,3.875830435,127.7361739
MS201401,10,58,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,2,2,360,36,462,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.6181,3.875830435,127.7361739
MS201401,10,59,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,1,2,370,37,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.6181,3.875830435,127.7361739
MS201401,10,60,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,1,2,390,39,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.6181,3.875830435,127.7361739
MS201401,10,61,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,1,2,370,37,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.6181,3.875830435,127.7361739
MS201401,10,62,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,2,2,370,37,526,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6181,3.875830435,127.7361739
MS201401,10,63,Buldir East,2,,5/26/2014,2014,5,52.27383333,176.003,130.5,2,1,370,37,624,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6181,3.875830435,127.7361739
MS201401,11,64,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,1,2,370,37,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.9117,3.812569939,127.1904724
MS201401,11,65,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,1,2,370,37,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.9117,3.812569939,127.1904724
MS201401,11,66,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,2,2,400,40,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,11,67,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,2,2,380,38,602,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,11,68,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,2,1,200,20,72,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immature,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,11,69,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,1,2,400,40,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.9117,3.812569939,127.1904724
MS201401,11,70,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,2,2,390,39,667,,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,11,71,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,1,1,350,35,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9117,3.812569939,127.1904724
MS201401,11,72,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,2,2,360,36,510,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,11,73,Buldir East,1,,5/26/2014,2014,5,52.20516667,176.1021667,131,1,,380,38,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9117,3.812569939,127.1904724
MS201401,16,74,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,2,2,360,36,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1462,3.841539677,114.3358806
MS201401,16,75,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,2,1,350,35,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1462,3.841539677,114.3358806
MS201401,16,76,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,2,1,340,34,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1462,3.841539677,114.3358806
MS201401,16,77,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,2,2,390,39,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1462,3.841539677,114.3358806
MS201401,16,78,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,2,2,400,40,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1462,3.841539677,114.3358806
MS201401,16,79,Tahoma Seamount,2,,5/28/2014,2014,5,51.8355,175.2953333,121.75,1,1,350,35,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.1462,3.841539677,114.3358806
MS201401,22,81,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,2,2,370,37,510,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9979,3.839671458,143.0033979
MS201401,22,82,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,2,2,380,38,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9979,3.839671458,143.0033979
MS201401,22,83,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,2,2,390,39,596,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9979,3.839671458,143.0033979
MS201401,22,84,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,1,2,370,37,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9979,3.839671458,143.0033979
MS201401,22,85,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,1,2,370,37,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.9979,3.839671458,143.0033979
MS201401,22,86,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,1,2,330,33,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9979,3.839671458,143.0033979
MS201401,22,87,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,2,2,350,35,396,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immature,,,,,,,,,,,,,,,,,,,,,,,4.9979,3.839671458,143.0033979
MS201401,22,88,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,1,1,300,30,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9979,3.839671458,143.0033979
MS201401,22,89,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,1,1,340,34,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9979,3.839671458,143.0033979
MS201401,22,90,Walls Plateau,4,,5/30/2014,2014,5,52.1895,175.0593333,145.88,2,2,360,36,444,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Immature,,,,,,,,,,,,,,,,,,,,,,,4.9979,3.839671458,143.0033979
MS201401,23,91,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,1,1,360,36,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9744,3.838378286,140.9016129
MS201401,23,92,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,1,1,350,35,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9744,3.838378286,140.9016129
MS201401,23,93,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,2,2,360,36,502,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9744,3.838378286,140.9016129
MS201401,23,94,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,1,1,340,34,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.9744,3.838378286,140.9016129
MS201401,23,95,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,2,2,350,35,460,,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,4.9744,3.838378286,140.9016129
MS201401,23,96,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,1,3,370,37,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.9744,3.838378286,140.9016129
MS201401,23,97,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,2,1,330,33,408,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Immature,,,,,,,,,,,,,,,,,,,,,,,4.9744,3.838378286,140.9016129
MS201401,23,98,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,2,2,380,38,514,,0,1,1,0,0,0,0,0,0,0,0,1,2,2,1,Developing,,,,,,,,,,,,,,,,,,,,,,,4.9744,3.838378286,140.9016129
MS201401,23,99,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,2,2,340,34,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9744,3.838378286,140.9016129
MS201401,23,100,Walls Plateau,4,,5/30/2014,2014,5,52.1905,175.0763333,144.15,1,3,400,40,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.9744,3.838378286,140.9016129
MS201401,25,101,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,2,1,340,34,338,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,4.7738,3.856511408,141.0885241
MS201401,25,102,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,1,1,340,34,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.7738,3.856511408,141.0885241
MS201401,25,103,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,2,1,320,32,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7738,3.856511408,141.0885241
MS201401,25,104,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,2,1,320,32,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7738,3.856511408,141.0885241
MS201401,25,105,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,2,1,380,38,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7738,3.856511408,141.0885241
MS201401,25,106,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,2,2,360,36,496,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Developing,,,,,,,,,,,,,,,,,,,,,,,4.7738,3.856511408,141.0885241
MS201401,25,107,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,1,1,350,35,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.7738,3.856511408,141.0885241
MS201401,25,108,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,1,2,360,36,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.7738,3.856511408,141.0885241
MS201401,25,109,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,1,2,380,38,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.7738,3.856511408,141.0885241
MS201401,25,110,Walls Plateau,4,,5/31/2014,2014,5,52.18933333,175.081,146.3,1,1,370,37,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.7738,3.856511408,141.0885241
MS201401,27,111,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,1,2,380,38,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9301,3.895562667,115.0313778
MS201401,27,112,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,1,2,400,40,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.9301,3.895562667,115.0313778
MS201401,27,113,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,1,2,400,40,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.9301,3.895562667,115.0313778
MS201401,27,114,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,1,2,390,39,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9301,3.895562667,115.0313778
MS201401,27,115,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,1,2,390,39,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9301,3.895562667,115.0313778
MS201401,27,116,Buldir West,4,,6/1/2014,2014,6,52.4565,175.6135,121.17,2,2,380,38,614,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,Vitellogenesis,,,,,,,,,,,,,,,,,,,,,,,3.9301,3.895562667,115.0313778
